timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-30T17:47:41,SMS_Spam_LightGBM,d7e76f98-96f9-472c-a90b-11de22786598,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6632675000000745,2.950263049273641e-06,1.7737754445833329e-06,4.528551244500003,3.5155769140117936,10.0,1.47515229617443e-06,1.6233346319997032e-06,3.251818611109532e-06,6.350305539283665e-06,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-04-30T17:49:33,SMS_Spam_LightGBM_inference,7eab61f6-427e-4bc6-be8c-cd1ef2c719a5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,106.45576889999938,0.0003436893094076,3.2284704996165505e-06,6.933294146258037,8.716466392619312,10.0,0.0001977810931673,0.000257329928086,0.0002846644119444,0.0007397754331978,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.6313131313131313,0.0505050505050505,57.77171717171715,9.151297713771012,N,1.0,0.0
2026-04-30T18:10:51,SMS_Spam_DistilBERT,20c290e4-c04c-4193-8d79-930df3faca51,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,172.82263810000222,0.0019487261165281,1.1275872987198072e-05,4.510290408187499,73.58710054092326,10.0,0.0002088974479999,0.0035225964291859,0.0004630494722222,0.0041945433494081,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,1.7647058823529411,90.15882352941176,50.62529411764707,8.019513051650103,N,1.0,0.0
2026-04-30T18:12:09,SMS_Spam_DistilBERT_inference,66072678-53a3-4bfa-bb0f-3bbbea939ef5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,72.35455950000323,0.0002911242879061,4.0235790241544455e-06,4.513607311432501,17.184204244146276,10.0,8.750743355784138e-05,0.0003452886095639,0.0001938355986111,0.0006266316417329,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,2.142857142857143,30.1,52.010000000000005,8.239139774867466,N,1.0,0.0
2026-04-30T18:14:02,SMS_Spam_CNN,83169158-d361-423c-ad28-1cd903a7aecc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.423287000001437,5.109343011581618e-05,6.882857973267946e-06,4.5024628995,39.83588684106074,10.0,8.648447426191363e-06,8.212478792200134e-05,1.920302333333489e-05,0.0001099762586815,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,42.0,53.38,8.457921600341797,N,1.0,0.0
2026-04-30T18:14:52,SMS_Spam_CNN_inference,00ffe144-8353-4b99-99e9-721127a98266,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,44.57058020000113,0.0001646665962565,3.694513186000355e-06,4.504819750995536,14.534452296324517,10.0,5.387523332569296e-05,0.0001809832003419,0.0001195788422222,0.0003544372758899,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,8.452380952380953,53.38809523809521,8.460044588361468,N,1.0,0.0
2026-04-30T18:18:14,SMS_Spam_LSTM,c87d37da-7630-4837-9939-e81efa19753c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,31.420787299997755,0.0002242082430686,7.1356659821395925e-06,4.5065818842468754,41.67932741389615,10.0,3.805537301930046e-05,0.00036011556587,8.442699361111309e-05,0.0004825979325004,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,33.689655172413794,52.37241379310347,8.296794891357422,N,1.0,0.0
2026-04-30T18:19:17,SMS_Spam_LSTM_inference,3af717bb-4d00-4bca-89fc-3a47482a6572,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,57.59350590000031,0.0001998113664713,3.469338484416306e-06,4.506087913129688,12.72259944697874,10.0,6.955752483805039e-05,0.000206190720508,0.0001543365322222,0.0004300847775682,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,23.12727272727273,53.06363636363636,8.406782254305753,N,1.0,0.0
2026-04-30T18:20:29,SMS_Spam_CNN,6e7421c7-db2f-4c74-bf7d-ab537d92a8d7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.761860200000228,4.539987331897775e-05,5.849097014009143e-06,4.503047162142858,31.76173915270392,10.0,9.08281611607103e-06,6.847477700199986e-05,2.016354638888313e-05,9.772113950695404e-05,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,32.0,52.883333333333326,8.377197901407877,N,1.0,0.0
2026-04-30T18:21:19,SMS_Spam_CNN_inference,98b08675-3447-4cb7-9658-8871af3d53ae,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45.49513090000255,0.000160674781186,3.5316918098151136e-06,4.5349675878375,13.154838446644757,10.0,5.542226177656696e-05,0.000168294023524,0.0001221287922222,0.0003458450775227,0.0,Türkiye,TUR,edirne,,,Windows-10-10.0.22631-SP0,3.10.20,3.2.6,12,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,26.556,41.6772,15.842525482177734,machine,0.0,7.976744186046512,53.80465116279069,8.52471072174782,N,1.0,0.0
