,Accuracy,Precision,Recall,F1_Score,MCC,Kappa,ROC_AUC,PR_AUC,Specificity,FPR,CV_Accuracy_Mean,CV_Accuracy_Std,CV_MCC_Mean,CV_MCC_Std,Optimal_Threshold,Default_Threshold_Accuracy,Threshold_Improvement,Train_Accuracy,Test_Accuracy,Generalization_Gap_Acc,Train_MCC,Test_MCC,Generalization_Gap_MCC,CV_Time,Training_Time,Inference_Time_Sec,Latency_ms,Latency_p95_ms,Latency_p99_ms,Total_Time,Training_CO2_kg,Training_Energy_kWh,Energy_per_1000_train_Wh,Inference_CO2_kg,Inference_Energy_kWh,Energy_per_1000_pred_Wh,CO2_per_1M_pred_kg,CEF_kg_per_kWh,CEF_gCO2_per_kWh,GPU_Used,RAM_Peak_MB,RAM_Inference_MB,CPU_Utilization_%,GPU_Memory_Peak_MB,Model_Size_MB,Parameters_Count,Category,Model_Format,Training_Samples,Test_Samples,Feature_Count_or_Vocab,Random_Seed,Dataset_Name,Timestamp
LR,0.9825918762088974,0.924812030075188,0.9389312977099237,0.9318181818181818,0.921875774708007,0.921841011212363,0.9910687868259321,0.966637322412859,0.9889258028792912,0.011074197120708784,0.9821039903264811,0.0031900619004287495,0.9184083228201751,0.01501209075659926,0.0590909090909091,0.9835589941972921,-0.0009671179883946612,1.0,0.9825918762088974,0.01740812379110257,1.0,0.921875774708007,0.07812422529199303,4.273847799981013,0.07029830012470484,0.2799246998038143,0.2707202125762227,0.30408998718485225,0.3809850686229763,4.624070799909532,1.5598686708932938e-05,3.357545580136496e-05,0.008119820024513896,1.599203994897798e-05,3.4422130561355655e-05,0.033290261664754024,0.01546618950578141,0.465,465.0,0.0,19.452741622924805,0.00390625,0.0,None,0.4385671615600586,57376.0,Classical,pkl,4135.0,1034.0,57376.0,42.0,SMS_Spam,2026-05-18 11:17:07
NaiveBayes,0.9835589941972921,0.9453125,0.9236641221374046,0.9343629343629344,0.9250480152813385,0.9249669185128271,0.984086125129974,0.967977125947947,0.9922480620155039,0.007751937984496138,0.9574365175332528,0.007149574606575315,0.8359125219719339,0.022976373525710036,0.95,0.9642166344294004,0.01934235976789167,0.9992744860943168,0.9835589941972921,0.015715491897024703,0.9967145600452623,0.9250480152813385,0.07166654476392376,0.12579610012471676,0.0031063000205904245,0.19720289693214,0.19071846898659572,0.19790999358519906,0.3071038937196135,0.3261052970774472,1.4741703297161103e-05,3.173083841777648e-05,0.007673721503694432,1.0317628518218929e-05,2.220822090682657e-05,0.021477969929232663,0.009978364137542484,0.465,465.0,0.0,3.816227912902832,0.00390625,0.0,None,1.7517309188842773,114752.0,Classical,pkl,4135.0,1034.0,57376.0,42.0,SMS_Spam,2026-05-18 11:18:41
SVM,0.9806576402321083,0.9111111111111111,0.9389312977099237,0.924812030075188,0.9138522120869035,0.9137161310780477,0.9934611515474289,0.9697898273846591,0.9867109634551495,0.013289036544850474,0.9825876662636034,0.0034710278341976617,0.9216171209954727,0.016057450332926222,0.17727272727272725,0.9835589941972921,-0.0029013539651837617,1.0,0.9806576402321083,0.01934235976789167,1.0,0.9138522120869035,0.08614778791309652,6.939073599874973,1.4198529999703169,0.502977805910632,0.48643888385941203,0.5308000836521387,0.5499021126888692,8.861904405755922,3.239999490627168e-05,6.973949905135256e-05,0.01686565877904536,1.8844966602338133e-05,4.05629239846619e-05,0.03922913344744865,0.018225306191816375,0.465,465.0,0.0,6.956611633300781,0.50390625,0.0,None,0.34395885467529297,859,Classical,pkl,4135.0,1034.0,57376.0,42.0,SMS_Spam,2026-05-18 11:20:05
RandomForest,0.9777562862669246,0.9285714285714286,0.8931297709923665,0.9105058365758755,0.8980327789405009,0.8978111599047807,0.9887229168251714,0.9662907410952569,0.9900332225913622,0.009966777408637828,0.9799274486094317,0.004089851154845898,0.9069615868663284,0.019234113903825897,0.18636363636363634,0.9264990328820116,0.05125725338491294,0.9825876662636034,0.9777562862669246,0.0048313799966788196,0.9196040014016751,0.8980327789405009,0.021571222461174155,10.857015199959278,0.9618985999841243,4.386245201807469,4.2420166361774365,4.488700034562497,4.929331929888573,16.20515900175087,2.0926009729576513e-07,5.31473783497262e-05,0.012853054014444063,8.42299286235298e-07,0.00021392515547758782,0.20689086603248338,0.0008146027913300755,0.465,465.0,0.0,2.5051498413085938,0.01953125,0.5,None,0.8720178604125977,10412.0,Ensemble,pkl,4135.0,1034.0,57376.0,42.0,SMS_Spam,2026-05-18 11:06:40
XGBoost,0.9806576402321083,0.9302325581395349,0.916030534351145,0.9230769230769231,0.9120510275284772,0.9120157248491759,0.9848807621752766,0.9671374337201131,0.9900332225913622,0.009966777408637828,0.9779927448609433,0.002692993645867014,0.8988870857287339,0.013014342394660802,0.3409090909090909,0.9787234042553191,0.0019342359767892114,0.9917775090689238,0.9806576402321083,0.011119868836815483,0.9624425013427318,0.9120510275284772,0.05039147381425457,20.724712900118902,0.9321824999060482,0.6172692971304059,0.596972240938497,0.6515849963761859,0.8127890178002406,22.274164697155356,1.7822240062957636e-07,4.526449848328664e-05,0.010946674361133408,1.510768675110969e-07,3.837014099326913e-05,0.037108453571827016,0.00014610915620028714,0.465,465.0,0.0,3.6812639236450195,0.1640625,0.0,None,0.13240623474121094,None,Ensemble,pkl,4135.0,1034.0,57376.0,42.0,SMS_Spam,2026-05-18 11:11:50
